Country,Year,Divorce_Rate
Kyrgyz Republic,1991,8.54
Kyrgyz Republic,1992,8.78
Kyrgyz Republic,1993,9.19
Kyrgyz Republic,1994,9.55
Kyrgyz Republic,1995,9.38
Kyrgyz Republic,1996,9.03
Kyrgyz Republic,1997,8.62
Kyrgyz Republic,1998,8.39
Kyrgyz Republic,1999,8.18
Kyrgyz Republic,2000,7.99
Kyrgyz Republic,2001,8.04
Kyrgyz Republic,2002,8.12
Kyrgyz Republic,2003,8.14
Kyrgyz Republic,2004,8.07
Kyrgyz Republic,2005,8.05
Kyrgyz Republic,2006,8.18
Kyrgyz Republic,2007,8.12
Kyrgyz Republic,2008,7.87
Kyrgyz Republic,2009,7.6
Kyrgyz Republic,2010,7.4
Kyrgyz Republic,2011,7.44
Kyrgyz Republic,2012,7.42
Kyrgyz Republic,2013,7.46
Kyrgyz Republic,2014,7.41
Kyrgyz Republic,2015,7.3
Kyrgyz Republic,2016,7.06
Kyrgyz Republic,2017,6.78
Kyrgyz Republic,2018,6.78
Kyrgyz Republic,2019,6.63
Kyrgyz Republic,2020,7.71
Kyrgyz Republic,2021,7.34
Kyrgyz Republic,2022,5.98
Kyrgyz Republic,2023,5.97
Latvia,1990,13.11
Latvia,1991,13.07
Latvia,1992,13.63
