"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(3.0.1)","BGD.CPI._T.IX.A","OBS_VALUE","Bangladesh","Consumer price index (CPI)","All Items","53.57738495529918","56.90856112623175","61.19400706062615","65.4724710579777","69.52801938871617","73.36146462513788","77.54458680639247","81.8433651111511","86.4200431412378","91.33827239319461","96.40357723077832","103.8237165829844","114.0851367654123","126.025"
"IMF.STA:CPI(3.0.1)","BTN.CPI._T.IX.A","OBS_VALUE","Bhutan","Consumer price index (CPI)","All Items","","","60.9643936473755","66.0067957973425","69.0088798875308","71.23088776669606","74.7604378543137","76.79688516441642","78.89069876773918","83.33174433097518","89.45397292770045","94.4984315933574","98.4950955283735","101.214856061226"
"IMF.STA:CPI(3.0.1)","BRN.CPI._T.IX.A","OBS_VALUE","Brunei Darussalam","Consumer price index (CPI)","All Items","100.0920705216817","100.2039396868619","100.5939384835521","100.3855996533718","99.89536916666668","99.6169675","98.36129000000003","99.36954416666669","98.98148416666665","100.9020416666667","102.6510916666667","106.4309618037181","106.8109887847447","106.3958420659184"
"IMF.STA:CPI(3.0.1)","MMR.CPI._T.IX.A","OBS_VALUE","Myanmar","Consumer price index (CPI)","All Items","97.2105001110174","98.6371451052834","104.203277508575","109.364777603988","119.704311671538","127.998414253743","133.85118853298","143.049882119771","155.674130014551","","","","",""
"IMF.STA:CPI(3.0.1)","KHM.CPI._T.IX.A","OBS_VALUE","Cambodia","Consumer price index (CPI)","All Items","143.8353333333334","148.0559166666666","152.4111666666666","158.2876666666667","160.225","165.0624166666667","169.8700833333333","174.0473333333334","177.4283333333334","182.64525","187.9798333333334","198.0249166666667","202.2378333333333",""
"IMF.STA:CPI(3.0.1)","LKA.CPI._T.IX.A","OBS_VALUE","Sri Lanka","Consumer price index (CPI)","All Items","70.54491654609669","75.86605874375832","81.10722774327122","83.68562836438922","86.83921066252589","90.2770781573499","97.23214855072462","99.30809161490681","102.8120719461698","109.1390703933747","116.7949368530021","174.8666666666667","203.7916666666666","202.9166666666666"
"IMF.STA:CPI(3.0.1)","IND.CPI._T.IX.A","OBS_VALUE","India","Consumer price index (CPI)","All Items","91.34071498098385","99.99889853543768","110.0166666666667","117.35","123.1083333333334","129.2","133.5","138.7583333333333","143.9333333333333","153.4666666666667","161.3416666666667","172.15","181.875","190.8833333333333"
"IMF.STA:CPI(3.0.1)","IDN.CPI._T.IX.A","OBS_VALUE","Indonesia","Consumer price index (CPI)","All Items","95.89611333333335","99.9999875","106.4125","113.2175","120.4216666666667","124.6675","129.4158333333333","133.555","137.6025","140.2458","142.4338166666666","148.4295166666666","153.877075",""
"IMF.STA:CPI(3.0.1)","TLS.CPI._T.IX.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Consumer price index (CPI)","All Items","78.03425845178148","87.2425425979003","96.91329862754378","97.61715570279222","98.15677946048272","96.84291292001892","97.38253667770942","99.95000000000002","100.9083333333333","101.4083333333333","105.1583333333334","112.525","122.0","124.5166666666667"
"IMF.STA:CPI(3.0.1)","KOR.CPI._T.IX.A","OBS_VALUE","Korea, Republic of","Consumer price index (CPI)","All Items","89.84999999999998","91.81508333333332","93.00991666666668","94.19558333333332","94.86091666666668","95.78266666666666","97.645","99.08608333333332","99.46558333333336","100.0","102.4983333333334","107.715","111.59","114.1808333333333"
